Id,Label
332,doc_116.07061_433.724
333,doc_188.09171_510.582
334,doc_231.0993_277.93
335,topic_169
336,doc_113.07092_452.947
337,doc_851.26363_685.059
338,doc_275.16005_414.504
339,doc_331.19034_210.369
340,topic_244
341,doc_366.095_444.82
342,doc_153.06585_425.682
343,doc_267.11969_585.875
344,doc_193.14348_366.198
345,doc_227.15816_882.758
346,topic_100
347,doc_309.22704_251.436
348,doc_365.19595_225.881
349,topic_103
350,topic_104
351,doc_281.1382_205.41
352,topic_106
353,doc_366.0794_493.109
354,doc_456.20753_509.007
355,topic_109
356,doc_271.0811_349.996
357,doc_198.11252_411.438
358,doc_165.07577_613.13
359,doc_81.03351_565.722
360,doc_84.04436_483.773
361,doc_437.23928_290.983
362,doc_189.1233_625.833
363,doc_335.09473_628.893
364,doc_345.21336_294.27
365,doc_259.09236_482.456
366,doc_319.16114_896.485
367,doc_216.12306_351.627
368,doc_168.0656_451.307
369,doc_164.09316_409.811
370,doc_360.14993_652.424
371,doc_158.0812_369.407
372,doc_155.11785_898.14
373,doc_162.09133_336.992
374,doc_352.24414_531.443
375,doc_316.13673_468.549
376,doc_266.12323_635.166
377,doc_296.06569_606.606
378,doc_689.21106_677.61
379,doc_546.68903_636.638
380,doc_318.16867_730.481
381,doc_374.79834_622.592
382,topic_79
383,doc_304.24822_229.964
384,doc_160.13321_465.402
385,topic_90
386,doc_328.17544_652.424
387,doc_193.14349_322.471
388,doc_265.05839_375.834
389,doc_342.15486_412.921
390,topic_7
391,doc_245.12838_325.502
392,topic_5
393,doc_1008.36142_688.576
394,topic_3
395,topic_2
396,topic_1
397,doc_241.15448_544.85
398,doc_141.05462_462.438
399,topic_77
400,doc_244.19068_228.159
401,topic_8
402,doc_229.15458_490.026
403,doc_286.14941_549.614
404,doc_273.14431_909.679
405,doc_337.1717_736.276
406,doc_180.13824_1018.08
407,doc_286.13963_309.802
408,doc_274.09193_536.439
409,doc_183.08632_613.13
410,topic_194
411,doc_282.11955_657.338
412,doc_126.05496_422.465
413,topic_72
414,doc_309.03714_335.339
415,doc_667.2289_677.61
416,doc_166.12263_696.858
417,doc_147.06516_613.13
418,doc_404.15517_295.922
419,topic_33
420,doc_180.13824_1097.68
421,doc_174.07613_424.099
422,doc_275.17112_947.136
423,doc_291.16317_729.738
424,doc_490.19215_452.947
425,doc_364.7949_636.638
426,topic_38
427,doc_309.13776_846.264
428,doc_282.1196_412.921
429,topic_146
430,doc_180.10185_486.862
431,doc_633.27156_692.107
432,doc_138.05249_578.163
433,doc_532.43947_223.606
434,doc_217.10704_469.996
435,doc_251.15018_412.921
436,doc_211.14411_277.93
437,doc_259.12881_559.317
438,topic_34
439,doc_487.16597_665.33
440,topic_95
441,doc_371.16205_207.039
442,doc_241.15453_490.026
443,topic_141
444,doc_140.06811_529.173
445,doc_121.0648_704.213
446,topic_9
447,doc_397.17058_310.69
448,doc_351.17604_328.784
449,doc_275.15999_313.268
450,doc_236.16836_532.509
451,doc_204.08662_590.713
452,doc_352.30572_234.884
453,doc_146.06009_412.921
454,doc_680.48034_221.946
455,doc_672.40933_269.747
456,doc_218.14991_842.342
457,topic_122
458,doc_279.15459_333.702
459,doc_254.16097_1200.59
460,doc_271.08109_377.378
461,doc_434.18696_649.151
462,doc_265.05841_332.055
463,doc_214.64695_821.62
464,topic_203
465,doc_333.26348_246.483
466,doc_295.22678_246.483
467,doc_157.06078_510.582
468,topic_64
469,doc_277.13932_617.886
470,doc_265.15453_1093.7
471,doc_148.06029_494.747
472,doc_546.68913_611.45
473,topic_148
474,doc_254.10219_372.653
475,doc_180.1594_261.408
476,topic_144
477,topic_145
478,doc_90.05496_630.413
479,doc_324.15548_417.639
480,topic_140
481,doc_104.0706_403.273
482,topic_142
483,topic_143
484,topic_225
485,doc_560.47099_223.606
486,topic_227
487,topic_226
488,topic_221
489,doc_324.15534_348.358
490,topic_223
491,topic_222
492,doc_234.0972_641.423
493,topic_192
494,doc_229.11822_955.832
495,topic_228
496,doc_204.14012_929.629
497,doc_204.12312_259.764
498,doc_432.23813_241.536
499,doc_401.17238_208.697
500,doc_447.24487_290.983
501,doc_97.02843_466.972
502,doc_286.11303_597.184
503,doc_418.15555_655.682
504,doc_336.21679_208.697
505,doc_175.02371_689.621
506,doc_130.08631_379.004
507,topic_239
508,doc_121.06477_183.681
509,doc_137.04581_482.456
510,doc_650.39629_269.747
511,doc_342.15481_332.055
512,doc_152.0566_589.081
513,doc_469.27698_294.27
514,doc_280.13888_501.043
515,doc_177.07576_438.661
516,doc_234.10837_813.117
517,doc_241.17968_239.89
518,doc_291.16325_564.091
519,topic_139
520,topic_138
521,doc_131.12913_630.413
522,doc_245.12839_369.407
523,doc_239.13891_408.169
524,topic_98
525,topic_131
526,topic_130
527,topic_133
528,doc_154.08625_403.273
529,doc_130.09752_685.551
530,topic_134
531,doc_203.15026_860.383
532,doc_457.20278_672.871
533,doc_174.03854_587.564
534,doc_471.21861_712.79
535,doc_218.08119_277.93
536,doc_118.08621_568.665
537,doc_261.14447_459.215
538,doc_257.18577_276.253
539,doc_254.10217_348.358
540,doc_480.18242_598.691
541,doc_180.10183_438.661
542,doc_341.06339_460.808
543,doc_198.11248_554.431
544,topic_12
545,doc_307.10232_310.69
546,doc_152.06817_565.722
547,topic_127
548,doc_295.15397_205.41
549,topic_31
550,doc_201.05226_460.808
551,doc_152.10701_396.807
552,doc_195.08766_510.582
553,topic_121
554,doc_130.04989_482.456
555,doc_814.55313_221.946
556,doc_238.0379_668.607
557,topic_202
