Topic 66,fragment_86.06014,fragment_206.10223,fragment_368.1567,fragment_144.13788,fragment_143.08192,fragment_143.08514,fragment_143.11762,fragment_144.06586,fragment_144.07733,fragment_144.08044,fragment_144.08074,fragment_144.10184,fragment_144.11326,loss_199.06926,fragment_143.07219,fragment_144.992,fragment_144.9935,fragment_145.02839,fragment_145.0321
Topic 67,fragment_57.07007,loss_126.10441,loss_172.10979,loss_189.13603,fragment_127.11204,loss_144.11505,fragment_127.07538,fragment_159.11676,loss_93.04256,fragment_145.0321,fragment_146.04403,fragment_143.07219,fragment_143.0739,fragment_143.08192,fragment_143.08514,fragment_143.11762,fragment_144.06586,fragment_144.07733,fragment_144.08044
Topic 68,fragment_201.12805,fragment_129.07001,fragment_57.07007,fragment_221.08119,fragment_293.13725,fragment_173.13225,fragment_361.20082,loss_198.12539,fragment_159.08048,fragment_69.07013,fragment_131.08493,fragment_311.14977,fragment_167.03433,fragment_119.0857,fragment_107.08554,fragment_295.17133,loss_18.00834,fragment_128.06203,fragment_143.08514
Topic 69,fragment_99.04366,loss_43.98978,loss_165.09984,fragment_348.0974,fragment_135.09957,fragment_148.03645,loss_199.06926,fragment_144.10184,fragment_143.08192,fragment_143.08514,fragment_143.11762,fragment_144.06586,fragment_144.07733,fragment_144.08044,fragment_144.08074,fragment_144.11326,fragment_143.07219,fragment_144.13788,fragment_144.992
Topic 70,loss_118.02644,fragment_89.00601,fragment_143.01554,fragment_393.13834,fragment_143.01708,loss_136.037,fragment_159.02719,fragment_115.0216,fragment_111.04429,loss_129.07874,loss_114.03136,fragment_126.09181,fragment_83.04965,fragment_283.12837,loss_73.0525,loss_157.07381,fragment_167.0713,fragment_105.00079,loss_18.00904
Topic 71,loss_173.06877,fragment_81.03337,fragment_188.07057,fragment_94.06505,loss_146.05776,loss_160.0369,fragment_108.04426,fragment_53.03889,loss_163.04805,fragment_206.0825,fragment_218.08163,fragment_172.07629,loss_132.04205,fragment_190.08769,loss_82.02658,fragment_80.04949,fragment_118.06547,loss_148.03699,loss_120.04178
Topic 72,fragment_95.04936,fragment_173.08275,fragment_262.14425,fragment_151.0967,loss_199.06926,fragment_144.13788,fragment_143.08192,fragment_143.08514,fragment_143.11762,fragment_144.06586,fragment_144.07733,fragment_144.08044,fragment_144.08074,fragment_144.10184,fragment_144.11326,fragment_144.9935,fragment_144.992,fragment_143.07219,fragment_145.02839
Topic 73,fragment_495.26484,fragment_327.07802,fragment_57.07007,fragment_61.02892,fragment_551.33272,fragment_93.05445,fragment_607.38891,fragment_152.06149,fragment_233.0375,fragment_152.06293,fragment_75.04398,fragment_439.19972,fragment_251.04864,fragment_383.14502,fragment_153.06945,fragment_51.0234,fragment_128.07164,fragment_144.06586,fragment_144.08044
Topic 74,loss_162.05266,fragment_229.05108,fragment_70.06514,fragment_257.04334,fragment_121.02826,fragment_85.02833,fragment_303.05042,fragment_317.06399,fragment_153.01918,fragment_153.01751,fragment_302.04205,fragment_68.99727,fragment_137.02375,fragment_245.04268,fragment_92.02616,fragment_274.04896,fragment_201.05585,fragment_155.04816,fragment_97.02839
Topic 75,fragment_68.0498,fragment_156.01208,fragment_129.99563,loss_104.04745,fragment_110.09706,loss_87.0684,fragment_146.08112,fragment_144.13788,fragment_143.08514,fragment_143.11762,fragment_144.06586,fragment_146.09279,fragment_144.07733,fragment_144.08044,fragment_144.08074,fragment_144.10184,fragment_144.11326,fragment_144.992,fragment_146.0609
