Topic 27,fragment_75.00852,loss_192.0638,fragment_135.03044,fragment_179.05753,fragment_122.02532,fragment_165.04055,fragment_191.05634,mzdiff_27.99461,mzdiff_27.99546,fragment_194.04621,fragment_138.0565,loss_218.0432,fragment_166.05074,fragment_133.01739,fragment_105.02195,loss_252.08519,loss_240.08517,fragment_150.01969,fragment_148.04076
Topic 28,fragment_59.01349,mzdiff_42.01068,mzdiff_30.01074,loss_92.04764,loss_122.05815,mzdiff_18.01065,mzdiff_15.99504,mzdiff_30.01121,fragment_89.02435,fragment_73.02948,fragment_91.03998,fragment_131.08338,fragment_72.01697,fragment_173.10453,fragment_102.0277,fragment_90.02771,fragment_164.06574,loss_18.00927,fragment_60.01665
Topic 29,loss_102.03175,fragment_121.02919,loss_74.03698,fragment_136.05249,mzdiff_43.99087,fragment_123.04539,loss_18.01,fragment_130.02339,fragment_86.03313,fragment_58.03732,fragment_102.0277,fragment_104.04338,fragment_135.0453,fragment_149.02431,fragment_101.02503,fragment_103.04037,fragment_164.04767,fragment_151.0392,fragment_219.06588
Topic 30,fragment_128.03605,loss_129.04231,fragment_127.05115,fragment_82.02981,fragment_170.0461,fragment_200.05808,loss_90.03124,fragment_84.04546,fragment_145.06295,fragment_217.12012,mzdiff_46.00613,mzdiff_111.03327,mzdiff_42.01001,fragment_212.05839,fragment_230.0662,fragment_134.04799,fragment_239.07013,fragment_241.11783,fragment_144.06679
Topic 31,fragment_82.02981,fragment_114.05604,fragment_101.02503,loss_42.0105,loss_43.98881,fragment_112.04064,fragment_209.09394,fragment_110.02457,fragment_181.09947,fragment_153.06785,fragment_148.04412,fragment_70.02967,mzdiff_32.02601,mzdiff_30.01121,fragment_277.12272,fragment_146.08216,fragment_67.0301,fragment_110.06073,fragment_98.02459
Topic 32,fragment_111.00859,loss_132.04241,fragment_129.02,mzdiff_43.99027,fragment_67.01856,fragment_173.00916,fragment_83.01371,loss_94.02671,loss_46.0419,fragment_154.99861,mzdiff_25.97909,mzdiff_56.02708,mzdiff_62.0003,loss_108.04234,mzdiff_46.00613,mzdiff_71.98517,fragment_322.14336,fragment_179.03479,fragment_147.02973
Topic 33,loss_62.00035,loss_89.99551,fragment_57.03411,fragment_97.02986,mzdiff_27.99546,fragment_69.03444,fragment_115.04067,loss_74.00063,mzdiff_46.00613,fragment_116.05025,fragment_120.99653,loss_46.00519,loss_88.01616,fragment_116.03596,fragment_158.06142,loss_18.00927,fragment_130.06597,fragment_142.06619,fragment_186.05744
Topic 34,fragment_119.0499,fragment_107.05022,loss_30.01075,fragment_108.02216,loss_18.01079,fragment_93.03432,fragment_163.04013,fragment_106.0427,mzdiff_26.01541,fragment_181.05118,fragment_81.03449,mzdiff_70.00595,fragment_180.06621,mzdiff_43.99027,fragment_278.11471,fragment_93.0351,fragment_77.00687,fragment_235.06056,loss_166.13569
Topic 35,fragment_93.03432,fragment_191.05634,loss_174.05339,fragment_173.04607,fragment_163.04013,loss_164.04742,loss_146.03717,loss_244.05897,loss_218.0432,fragment_193.05058,mzdiff_106.02683,mzdiff_98.02185,fragment_119.05099,fragment_93.0351,mzdiff_80.01136,mzdiff_26.01579,mzdiff_28.01638,mzdiff_43.99027,fragment_144.04584
Topic 36,fragment_97.02986,fragment_383.12068,fragment_161.04671,fragment_179.05753,loss_504.17013,loss_666.22367,fragment_101.02417,mzdiff_90.03306,fragment_259.02405,fragment_221.06619,fragment_545.17114,mzdiff_60.02231,mzdiff_222.07439,mzdiff_18.01065,mzdiff_312.10705,fragment_89.02435,mzdiff_286.09117,mzdiff_282.0965,mzdiff_78.03315
Topic 37,fragment_134.03738,fragment_67.01856,fragment_65.00311,fragment_135.0453,fragment_93.0351,mzdiff_41.00309,fragment_81.03449,mzdiff_67.01894,fragment_59.98514,fragment_233.15477,mzdiff_26.01654,fragment_179.03479,fragment_388.19142,fragment_149.06063,fragment_147.0818,fragment_161.02545,fragment_133.03021,fragment_165.12919,fragment_291.19585
Topic 38,fragment_72.9929,loss_18.01079,fragment_147.04491,loss_46.00581,loss_64.01619,fragment_72.00873,mzdiff_16.03129,loss_88.05276,mzdiff_27.99497,loss_30.01075,fragment_72.0452,fragment_257.11337,fragment_118.05114,fragment_196.09787,mzdiff_18.0104,fragment_101.0395,fragment_57.43976,mzdiff_46.00549,mzdiff_24.00049
Topic 39,loss_77.97752,loss_95.98808,fragment_154.94772,fragment_76.9698,fragment_142.05163,fragment_94.98083,fragment_72.0452,mzdiff_18.01065,fragment_98.02459,loss_90.03211,loss_74.00063,fragment_114.05604,fragment_112.01245,fragment_227.035,loss_46.00519,fragment_284.03587,loss_220.05876,fragment_134.06095,fragment_76.97025
Topic 40,fragment_57.03411,loss_296.11146,fragment_85.02956,fragment_161.04488,fragment_129.02,fragment_251.11303,fragment_55.01843,mzdiff_42.01122,fragment_83.01371,mzdiff_27.99546,mzdiff_43.99027,loss_18.01,mzdiff_15.99528,loss_46.00581,fragment_73.02948,mzdiff_30.01033,mzdiff_30.01121,fragment_114.96577,fragment_87.49013
Topic 41,fragment_164.07173,loss_179.0797,fragment_147.04491,fragment_96.04581,fragment_140.07209,fragment_72.00873,fragment_147.04645,fragment_56.99533,fragment_106.02812,mzdiff_17.02671,mzdiff_92.06307,loss_77.97752,fragment_150.05639,fragment_184.04509,loss_43.98881,fragment_122.06139,fragment_138.0565,fragment_149.03471,fragment_236.09333
Topic 42,fragment_115.92108,fragment_116.92903,fragment_99.92583,fragment_151.00411,loss_324.10588,loss_240.08517,fragment_176.89604,fragment_193.05058,fragment_272.07803,loss_284.07467,fragment_168.06763,fragment_254.06732,fragment_209.04527,fragment_212.05839,fragment_165.05674,fragment_236.05848,fragment_84.00889,fragment_69.03444,fragment_98.02459
Topic 43,fragment_71.01372,fragment_89.02435,mzdiff_18.01065,fragment_108.05726,fragment_298.10751,fragment_194.09509,fragment_176.08424,mzdiff_18.0109,mzdiff_104.01226,mzdiff_18.0104,fragment_161.04671,fragment_142.05163,fragment_145.01484,fragment_140.03586,fragment_140.05474,fragment_140.07209,fragment_146.02539,fragment_145.09917,fragment_145.06295
Topic 44,loss_43.98962,fragment_183.0121,fragment_79.95759,fragment_168.06567,mzdiff_102.03158,fragment_264.09885,fragment_125.06066,fragment_65.00311,fragment_193.05058,loss_166.13569,fragment_167.03507,fragment_113.06108,fragment_237.11396,fragment_97.02912,fragment_221.04733,fragment_181.05118,fragment_184.09934,fragment_166.08716,fragment_219.10267
Topic 45,fragment_88.04079,fragment_130.08697,fragment_223.10912,fragment_259.09939,fragment_132.03054,fragment_371.22212,fragment_301.14789,mzdiff_42.04623,fragment_202.10775,mzdiff_72.02077,fragment_78.95942,fragment_153.05545,fragment_97.06617,fragment_268.16698,fragment_167.04714,fragment_179.89214,fragment_196.8947,fragment_254.15208,fragment_170.11953
Topic 46,fragment_125.02487,fragment_99.04505,loss_144.04304,loss_252.08519,fragment_57.03411,fragment_207.08689,mzdiff_42.01068,mzdiff_28.03132,mzdiff_39.99496,mzdiff_67.99011,mzdiff_150.05244,mzdiff_108.04181,fragment_113.02446,mzdiff_54.0109,mzdiff_27.99497,fragment_101.06082,fragment_87.00873,fragment_185.05756,fragment_249.06151
Topic 47,loss_116.01127,loss_78.0319,loss_106.02702,fragment_85.02956,loss_90.03211,loss_64.01619,loss_18.01,fragment_83.0503,fragment_57.03411,fragment_69.03444,loss_88.05276,fragment_73.02948,loss_88.01616,loss_74.03698,fragment_155.03554,fragment_99.04505,loss_76.0163,mzdiff_26.01614,fragment_87.04517
Topic 48,mzdiff_27.99497,mzdiff_26.01579,fragment_95.0142,mzdiff_40.0314,mzdiff_54.0109,fragment_97.02986,mzdiff_25.97983,fragment_117.03453,mzdiff_39.99574,fragment_72.9929,mzdiff_24.00015,mzdiff_15.99504,mzdiff_28.03197,mzdiff_27.99546,mzdiff_36.00055,mzdiff_38.01574,mzdiff_70.00595,mzdiff_22.02131,fragment_135.0453
Topic 49,fragment_59.01349,fragment_89.02435,fragment_85.02956,fragment_113.02446,loss_108.04234,loss_120.0427,fragment_58.00546,fragment_71.01372,loss_90.03211,mzdiff_30.01074,mzdiff_42.01068,loss_324.10588,loss_94.02671,mzdiff_26.01614,mzdiff_31.0189,mzdiff_18.01065,fragment_337.20594,mzdiff_27.02416,mzdiff_24.00015
