Topic 28,fragment_121.08888,loss_91.02657,fragment_106.06497,fragment_166.0863,fragment_149.08408,loss_62.03681,fragment_148.07562,fragment_150.0922,fragment_153.07831,fragment_150.09054,fragment_138.09131,fragment_131.08199,fragment_134.04673,fragment_133.08622,fragment_133.09596,fragment_133.09783,fragment_133.10075,fragment_133.59714,fragment_134.01282
Topic 29,loss_17.02672,fragment_73.08415,fragment_145.10502,fragment_140.11918,fragment_138.05451,fragment_155.12857,fragment_227.11333,fragment_156.11376,fragment_56.02142,loss_334.21407,fragment_134.02756,fragment_134.01282,fragment_134.04498,fragment_133.59714,fragment_133.10075,fragment_133.09783,fragment_133.09596,fragment_134.03645,fragment_134.04803
Topic 30,fragment_84.04407,fragment_111.05517,loss_122.06891,fragment_134.04803,fragment_133.08622,fragment_133.09596,fragment_133.09783,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645,fragment_134.04498,fragment_134.04673,loss_334.21407,fragment_133.07609,fragment_134.08154,fragment_134.09674,fragment_134.9566
Topic 31,fragment_130.0857,loss_129.07873,fragment_85.06472,fragment_188.10247,loss_157.0737,fragment_144.11338,fragment_85.03942,fragment_180.10072,fragment_112.05096,fragment_84.05571,fragment_94.03965,loss_136.0846,loss_121.07353,fragment_109.05037,loss_184.08407,loss_62.03681,loss_147.08937,loss_334.21407,fragment_134.02756
Topic 32,fragment_102.09173,loss_101.08386,fragment_168.0484,fragment_128.95319,fragment_61.08456,loss_179.05897,fragment_181.04224,fragment_68.0577,fragment_342.09013,fragment_139.02882,fragment_179.06244,fragment_123.96369,fragment_123.96499,fragment_134.03645,fragment_134.02756,fragment_134.04498,fragment_134.04673,fragment_134.04803,loss_334.21407
Topic 33,fragment_100.0753,fragment_131.0449,fragment_133.09596,fragment_133.09783,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645,fragment_134.04498,fragment_134.04673,fragment_134.04803,fragment_134.05987,fragment_134.08154,fragment_134.09674,fragment_134.9566,fragment_135.00705,fragment_135.01156,fragment_135.02194
Topic 34,loss_181.0735,loss_164.04699,loss_118.04179,fragment_130.05043,loss_135.06759,loss_174.06387,loss_182.05756,loss_136.0522,fragment_136.07581,fragment_101.07114,fragment_147.07584,fragment_102.05461,fragment_83.06033,loss_200.07877,loss_129.04234,fragment_129.0656,fragment_134.04498,fragment_133.59714,fragment_133.09783
Topic 35,loss_101.04741,fragment_127.08613,loss_104.05803,fragment_74.00601,fragment_151.98313,fragment_137.07048,fragment_128.09108,fragment_188.17561,fragment_91.02108,fragment_153.61143,loss_122.06891,fragment_110.08375,fragment_110.07937,fragment_171.14863,fragment_131.08913,fragment_68.0577,fragment_58.99519,fragment_134.01282,fragment_133.09783
Topic 36,fragment_152.07014,fragment_110.05967,fragment_134.05987,fragment_111.04417,fragment_92.04938,fragment_93.03314,loss_138.99401,fragment_93.03393,fragment_232.02826,fragment_93.05775,fragment_91.05485,fragment_134.01282,fragment_133.59714,fragment_134.04498,fragment_134.02756,fragment_133.10075,fragment_133.09783,fragment_134.03645,loss_334.21407
Topic 37,loss_105.07886,fragment_127.01268,fragment_128.01522,fragment_134.04673,fragment_157.02265,fragment_215.04672,fragment_186.04878,fragment_187.0523,fragment_137.01744,fragment_316.13383,fragment_92.05759,fragment_185.01842,fragment_134.02756,fragment_134.01282,fragment_133.59714,fragment_134.03645,fragment_133.10075,loss_334.21407,fragment_134.04498
Topic 38,fragment_61.02856,fragment_149.07186,fragment_344.06094,fragment_170.04345,fragment_215.01691,fragment_122.06016,fragment_152.03292,fragment_122.09724,loss_334.21407,fragment_134.03645,fragment_134.01282,fragment_134.02756,fragment_133.59714,fragment_133.10075,fragment_133.09783,fragment_133.09596,fragment_134.04498,fragment_134.04803,fragment_134.04673
Topic 39,fragment_123.05493,loss_73.01628,loss_186.06374,loss_43.98973,fragment_106.0287,fragment_115.03912,loss_334.21407,fragment_133.09783,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645,fragment_134.04498,fragment_134.04673,fragment_134.05987,fragment_134.04803,fragment_134.08154,fragment_134.09674
Topic 40,fragment_166.03151,fragment_140.01666,fragment_208.04358,fragment_96.04408,fragment_225.0689,fragment_254.04766,fragment_253.06377,fragment_138.0375,fragment_82.02892,loss_173.06837,loss_105.04226,loss_147.05303,loss_192.07405,loss_131.05802,fragment_108.04416,loss_88.01592,fragment_94.06543,loss_175.04769,loss_59.03729
Topic 41,fragment_86.06007,loss_101.04741,loss_334.21407,fragment_134.08154,fragment_133.09783,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645,fragment_134.04498,fragment_134.04673,fragment_134.04803,fragment_134.05987,fragment_134.09674,fragment_134.9566,fragment_135.00705,fragment_135.01156,fragment_135.02194
Topic 42,fragment_72.08069,loss_334.21407,fragment_133.07609,fragment_133.09596,fragment_133.09783,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645,fragment_134.04498,fragment_134.04673,fragment_134.04803,fragment_134.05987,fragment_134.08154,fragment_134.09674,fragment_134.9566,fragment_135.00705,fragment_135.01156
Topic 43,fragment_86.07144,fragment_57.05775,fragment_87.07463,fragment_87.06924,fragment_61.2115,loss_177.07473,fragment_103.06316,fragment_134.9566,fragment_134.02756,fragment_134.03645,fragment_134.04498,fragment_134.04673,fragment_134.04803,fragment_134.05987,fragment_134.08154,fragment_134.09674,loss_334.21407,fragment_135.00705,fragment_133.59714
Topic 44,loss_146.05758,loss_147.08937,loss_119.09459,fragment_145.04989,loss_59.07287,loss_60.02086,fragment_144.10178,loss_120.04187,fragment_142.06138,fragment_131.07346,fragment_134.04803,fragment_133.09596,fragment_133.09783,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645,fragment_134.04498
Topic 45,fragment_229.11991,loss_180.06283,fragment_96.04408,fragment_84.04465,fragment_138.05575,fragment_89.10709,fragment_204.08764,fragment_97.0283,fragment_168.06648,fragment_126.05556,fragment_186.077,fragment_104.07096,fragment_144.06518,fragment_98.06083,fragment_200.13914,fragment_85.02898,fragment_146.06089,fragment_81.03393,loss_135.08938
