"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy","bin_id"
"12964",12964,670,2,211.906,57.0700194148033,13425.283203125,1,0,0,"57.07007"
"12975",12975,676,2,209.821,121.064820609561,33215.171875,1,3852,0,"121.06489"
"12976",12976,676,2,209.821,152.105896207142,12208.560546875,1,3852,0,"152.1059"
"12977",12977,676,2,209.821,122.067990405583,8661.4091796875,1,3852,0,"122.06811"
"12978",12978,676,2,209.821,93.0698600429323,8544.267578125,1,3852,0,"93.06982"
"12986",12986,693,2,206.778,246.050026852476,10439.619140625,1,0,0,"246.05003"
"12992",12992,703,2,200.217,195.029121289138,72845.84375,1,0,0,"195.0292"
"12993",12993,703,2,200.217,233.081738352911,50002.5234375,1,0,0,"233.08174"
"12994",12994,703,2,200.217,289.141979265439,44223.21875,1,0,0,"289.14181"
"12995",12995,703,2,200.217,219.102529648077,33027.76953125,1,0,0,"219.10217"
"12996",12996,703,2,200.217,81.0332403237901,32824.609375,1,0,0,"81.03337"
"12997",12997,703,2,200.217,109.029045186509,21437.619140625,1,0,0,"109.0288"
"12998",12998,703,2,200.217,69.0700716272691,11291.6318359375,1,0,0,"69.07013"
"12999",12999,703,2,200.217,53.038804275378,11162.5888671875,1,0,0,"53.03889"
"13000",13000,703,2,200.217,275.166640719967,10856.50390625,1,0,0,"275.16664"
"13001",13001,703,2,200.217,177.018952419528,10490.7265625,1,0,0,"177.01894"
"13009",13009,718,2,208.434,201.12797728745,28456.21484375,1,0,0,"201.12805"
"13010",13010,718,2,208.434,295.17133157966,15741.4140625,1,0,0,"295.17133"
"13011",13011,718,2,208.434,173.132246680414,15472.2431640625,1,0,0,"173.13225"
"13012",13012,718,2,208.434,131.084767339249,15396.7421875,1,0,0,"131.08493"
"13013",13013,718,2,208.434,128.062076472499,12338.1220703125,1,0,0,"128.06203"
"13014",13014,718,2,208.434,91.0540415283812,12208.162109375,1,0,0,"91.05413"
"13015",13015,718,2,208.434,143.085152877917,11428.2861328125,1,0,0,"143.08514"
"13016",13016,718,2,208.434,129.069964439369,10670.48046875,1,0,0,"129.07001"
"13017",13017,718,2,208.434,239.092015075153,9766.0361328125,1,0,0,"239.09204"
"13018",13018,718,2,208.434,159.080494767287,8086.39306640625,1,0,0,"159.08048"
"13019",13019,718,2,208.434,115.054327262363,6831.94287109375,1,0,0,"115.05434"
"13028",13028,735,2,211.763,275.127859995714,13955.802734375,1,3430,0,"275.12787"
"13029",13029,735,2,211.763,191.033429796211,10878.09375,1,3430,0,"191.03343"
"13030",13030,735,2,211.763,69.0701166389635,9196.69140625,1,3430,0,"69.07013"
"13031",13031,735,2,211.763,195.029471544733,5038.06201171875,1,3430,0,"195.0292"
"13048",13048,743,2,205.149,121.065035436367,376312.90625,1,3857,0,"121.06489"
"13049",13049,743,2,205.149,103.054593244472,68026.171875,1,3857,0,"103.05449"
"13050",13050,743,2,205.149,91.054235872634,54851.7421875,1,3857,0,"91.05413"
"13051",13051,743,2,205.149,93.0697817860115,45525.08984375,1,3857,0,"93.06982"
"13052",13052,743,2,205.149,53.0389556484597,35987.90234375,1,3857,0,"53.03889"
"13053",13053,743,2,205.149,51.023376735442,11235.3408203125,1,3857,0,"51.0234"
"13056",13056,781,2,206.497,201.128417820008,25356.341796875,1,0,0,"201.12805"
"13057",13057,781,2,206.497,57.0700211402637,21651.1796875,1,0,0,"57.07007"
"13058",13058,781,2,206.497,131.08489470717,21343.64453125,1,0,0,"131.08493"
"13059",13059,781,2,206.497,98.9837217848534,19286.44140625,1,0,0,"98.98387"
"13060",13060,781,2,206.497,173.132069165679,17053.48828125,1,0,0,"173.13225"
"13061",13061,781,2,206.497,91.053878384718,13850.70703125,1,0,0,"91.05413"
"13062",13062,781,2,206.497,115.054312332808,9669.2568359375,1,0,0,"115.05434"
"13063",13063,781,2,206.497,105.070168375765,9644.80078125,1,0,0,"105.07017"
"13064",13064,781,2,206.497,85.0647429321962,9478.34765625,1,0,0,"85.06477"
"13065",13065,781,2,206.497,129.069947695106,9387.4521484375,1,0,0,"129.07001"
"13066",13066,781,2,206.497,116.061688168413,8591.2626953125,1,0,0,"116.06169"
"13067",13067,781,2,206.497,225.126868209242,7869.75,1,0,0,"225.12687"
"13068",13068,781,2,206.497,159.08047412739,7773.46142578125,1,0,0,"159.08048"
"13069",13069,781,2,206.497,158.108673933404,7293.44970703125,1,0,0,"158.10867"
"13070",13070,781,2,206.497,117.0703372355,6944.42578125,1,0,0,"117.07034"
"13085",13085,800,2,203.485,69.0700794953826,7062.98046875,1,0,0,"69.07013"
"13094",13094,896,2,219.893,121.064932956984,522078.71875,1,4363,0,"121.06489"
"13095",13095,896,2,219.893,152.107589724187,267988.25,1,4363,0,"152.10755"
"13096",13096,896,2,219.893,103.054515356468,77260.3984375,1,4363,0,"103.05449"
"13097",13097,896,2,219.893,93.0697743301544,68953.3203125,1,4363,0,"93.06982"
"13098",13098,896,2,219.893,91.054183396427,64052.703125,1,4363,0,"91.05413"
"13099",13099,896,2,219.893,95.0493662048845,6397.884765625,1,4363,0,"95.04936"
"13100",13100,906,2,214.917,67.054666987202,162201,1,0,0,"67.05455"
"13101",13101,906,2,214.917,81.0701060630536,128324.4765625,1,0,0,"81.07"
"13102",13102,906,2,214.917,95.0855383149731,81207,1,0,0,"95.08537"
"13103",13103,906,2,214.917,79.0543470075529,39788.26171875,1,0,0,"79.05417"
"13104",13104,906,2,214.917,109.101501195931,30884.787109375,1,0,0,"109.10129"
"13105",13105,906,2,214.917,55.0547304026509,24858.453125,1,0,0,"55.05468"
"13106",13106,906,2,214.917,93.0699677941529,23371.9375,1,0,0,"93.06982"
"13107",13107,906,2,214.917,91.054305700711,21438.111328125,1,0,0,"91.05413"
"13108",13108,906,2,214.917,123.11720570875,17352.36328125,1,0,0,"123.11715"
"13109",13109,906,2,214.917,69.0701622563016,16527.556640625,1,0,0,"69.07013"
"13110",13110,906,2,214.917,137.133055359753,14841.994140625,1,0,0,"137.13306"
"13111",13111,906,2,214.917,279.233622072909,12456.7841796875,1,0,0,"279.23344"
"13112",13112,906,2,214.917,53.038835232925,10873.21875,1,0,0,"53.03889"
"13113",13113,906,2,214.917,65.0387722181622,10040.748046875,1,0,0,"65.03877"
"13114",13114,906,2,214.917,107.085630108514,9319.072265625,1,0,0,"107.08554"
"13115",13115,906,2,214.917,53.0025829425347,8127.734375,1,0,0,"53.0026"
"13116",13116,906,2,214.917,121.101574485457,8110.4443359375,1,0,0,"121.10156"
"13117",13117,906,2,214.917,105.070220444567,8010.10986328125,1,0,0,"105.07017"
"13118",13118,906,2,214.917,149.132506346378,6965.04296875,1,0,0,"149.13246"
"13137",13137,916,2,204.44,176.876146894815,9414.3291015625,1,0,0,"176.8761"
"13143",13143,924,2,218.498,551.332338896644,70185.6328125,1,4307,0,"551.33272"
"13144",13144,924,2,218.498,327.077719537829,61116.9453125,1,4307,0,"327.07802"
"13145",13145,924,2,218.498,495.264365830874,55661.5625,1,4307,0,"495.26484"
"13146",13146,924,2,218.498,57.0700728867766,41905.62109375,1,4307,0,"57.07007"
"13147",13147,924,2,218.498,607.388911444256,33388.6171875,1,4307,0,"607.38891"
"13148",13148,924,2,218.498,91.0541309159409,13653.619140625,1,4307,0,"91.05413"
"13149",13149,924,2,218.498,251.048638563265,12600.2138671875,1,4307,0,"251.04864"
"13150",13150,924,2,218.498,383.145015315958,6681.89892578125,1,4307,0,"383.14502"
"13151",13151,924,2,218.498,153.069453652072,5033.22802734375,1,4307,0,"153.06945"
"13158",13158,927,2,203.344,209.08107457632,207320.046875,1,0,0,"209.08106"
"13159",13159,927,2,203.344,149.023657965295,44346.51953125,1,0,0,"149.02364"
"13160",13160,927,2,203.344,115.054389773413,30129.45703125,1,0,0,"115.05434"
"13161",13161,927,2,203.344,117.070377365398,25399.958984375,1,0,0,"117.07034"
"13162",13162,927,2,203.344,91.0540371276495,24235.0859375,1,0,0,"91.05413"
"13163",13163,927,2,203.344,53.0389454036521,21099.412109375,1,0,0,"53.03889"
"13164",13164,927,2,203.344,79.0540526962917,15358.751953125,1,0,0,"79.05417"
"13165",13165,927,2,203.344,67.0180232118283,14051.966796875,1,0,0,"67.01808"
"13166",13166,927,2,203.344,83.0130103604768,6963.34033203125,1,0,0,"83.01292"
"13170",13170,945,2,199.065,195.028636154207,71796,1,0,0,"195.0292"
"13171",13171,945,2,199.065,275.126900165545,64151.1796875,1,0,0,"275.12787"
"13172",13172,945,2,199.065,219.064576506826,53079.1796875,1,0,0,"219.06534"
"13173",13173,945,2,199.065,81.0338483844661,24420.15234375,1,0,0,"81.03337"
"13174",13174,945,2,199.065,109.028544620998,20775.28125,1,0,0,"109.0288"
"13175",13175,945,2,199.065,219.101231667106,18287.447265625,1,0,0,"219.10217"
"13176",13176,945,2,199.065,293.137220181927,14176.673828125,1,0,0,"293.13725"
"13177",13177,945,2,199.065,69.0700591381601,13670.7763671875,1,0,0,"69.07013"
"13178",13178,945,2,199.065,177.018920408925,10848.1318359375,1,0,0,"177.01894"
"13179",13179,945,2,199.065,53.0391610634728,8326.7734375,1,0,0,"53.03889"
"13180",13180,945,2,199.065,151.040258456799,7749.73828125,1,0,0,"151.04026"
"13196",13196,953,2,227.06,105.07013141696,211198.59375,1,3755,0,"105.07017"
"13197",13197,953,2,227.06,79.0541318324841,26150.42578125,1,3755,0,"79.05417"
"13198",13198,953,2,227.06,119.049976403795,25161.701171875,1,3755,0,"119.04986"
"13199",13199,953,2,227.06,103.054485159578,15404.31640625,1,3755,0,"103.05449"
"13200",13200,953,2,227.06,53.0388123720796,12254.5986328125,1,3755,0,"53.03889"
"13201",13201,953,2,227.06,91.0541051993263,9398.865234375,1,3755,0,"91.05413"
"13213",13213,977,2,200.991,239.092015690005,10997.1884765625,1,0,0,"239.09204"
"13223",13223,1018,2,201.554,263.129705744234,8119.412109375,1,0,0,"263.12955"
"13228",13228,1053,2,199.936,239.092019759029,132265.125,1,0,0,"239.09204"
"13229",13229,1053,2,199.936,221.081165073712,36946.1875,1,0,0,"221.08119"
"13230",13230,1053,2,199.936,91.0540741640973,15834.935546875,1,0,0,"91.05413"
"13231",13231,1053,2,199.936,175.076103982968,12958.8779296875,1,0,0,"175.07621"
"13232",13232,1053,2,199.936,119.085836331041,12929.06640625,1,0,0,"119.0857"
"13233",13233,1053,2,199.936,129.069935140401,11166.3740234375,1,0,0,"129.07001"
"13234",13234,1053,2,199.936,83.0122895553235,7987.41796875,1,0,0,"83.01229"
"13235",13235,1053,2,199.936,79.0541263471186,7692.56494140625,1,0,0,"79.05417"
"13236",13236,1053,2,199.936,55.0181909089237,7055.23681640625,1,0,0,"55.01824"
"13244",13244,1085,2,216.411,57.0701365977148,95558.953125,1,4225,0,"57.07007"
"13245",13245,1085,2,216.411,95.0493939855178,63890.32421875,1,4225,0,"95.04936"
"13246",13246,1085,2,216.411,147.116421392716,61237.5703125,1,4225,0,"147.11654"
"13247",13247,1085,2,216.411,235.052455580026,40065.54296875,1,4225,0,"235.05246"
"13248",13248,1085,2,216.411,441.294458074484,36933.12890625,1,4225,0,"441.29446"
"13249",13249,1085,2,216.411,117.070370066516,28544.673828125,1,4225,0,"117.07034"
"13250",13250,1085,2,216.411,119.085762131811,22961.59765625,1,4225,0,"119.0857"
"13251",13251,1085,2,216.411,132.09296418449,13409.568359375,1,4225,0,"132.09296"
"13259",13259,1119,2,227.619,147.065482033807,40892.21875,1,2952,0,"147.06556"
"13260",13260,1119,2,227.619,129.054747569084,35663.15234375,1,2952,0,"129.05473"
"13261",13261,1119,2,227.619,101.059743724091,29388.259765625,1,2952,0,"101.05975"
"13262",13262,1119,2,227.619,55.0547430256524,28330.87109375,1,2952,0,"55.05468"
"13263",13263,1119,2,227.619,57.0699836728785,16959.517578125,1,2952,0,"57.07007"
"13264",13264,1119,2,227.619,83.0489051625529,15746.474609375,1,2952,0,"83.04895"
"13265",13265,1119,2,227.619,71.0859133071452,13014.30859375,1,2952,0,"71.0858"
"13266",13266,1119,2,227.619,111.044265126994,10629.0576171875,1,2952,0,"111.04429"
"13273",13273,1126,2,201.133,277.142962213106,45864.57421875,1,0,0,"277.14312"
"13274",13274,1126,2,201.133,219.102454100664,41577.62109375,1,0,0,"219.10217"
"13275",13275,1126,2,201.133,203.071517023154,28378.025390625,1,0,0,"203.07143"
"13276",13276,1126,2,201.133,121.06501367844,20382.58984375,1,0,0,"121.06489"
"13277",13277,1126,2,201.133,163.038903430873,15210.7197265625,1,0,0,"163.03908"
"13278",13278,1126,2,201.133,175.076367558227,14591.5654296875,1,0,0,"175.07621"
"13279",13279,1126,2,201.133,135.044406808935,10605.748046875,1,0,0,"135.04439"
"13280",13280,1126,2,201.133,91.0541086109269,10359.759765625,1,0,0,"91.05413"
"13281",13281,1126,2,201.133,69.0700847610398,10061.8779296875,1,0,0,"69.07013"
"13282",13282,1126,2,201.133,259.13149187449,8091.201171875,1,0,0,"259.13141"
"13295",13295,1144,2,216.68,327.078200062581,168001.78125,1,4279,0,"327.07802"
"13296",13296,1144,2,216.68,551.333093231173,142871.875,1,4279,0,"551.33272"
"13297",13297,1144,2,216.68,495.265063603825,119008.84375,1,4279,0,"495.26484"
"13298",13298,1144,2,216.68,57.0701247134388,110372.5390625,1,4279,0,"57.07007"
"13299",13299,1144,2,216.68,91.0541863754333,39214.890625,1,4279,0,"91.05413"
"13300",13300,1144,2,216.68,152.062925559196,23576.666015625,1,4279,0,"152.06293"
"13301",13301,1144,2,216.68,53.0388409430783,17510.404296875,1,4279,0,"53.03889"
"13302",13302,1144,2,216.68,439.199718070908,14561.8837890625,1,4279,0,"439.19972"
"13303",13303,1144,2,216.68,53.0025886484923,14184.6298828125,1,4279,0,"53.0026"
"13304",13304,1144,2,216.68,105.070231758275,12814.310546875,1,4279,0,"105.07017"
"13305",13305,1144,2,216.68,65.03877922318,5162.6455078125,1,4279,0,"65.03877"
"13307",13307,1161,2,206.358,195.065301023786,64094.11328125,1,0,0,"195.06547"
"13308",13308,1161,2,206.358,69.0700650443145,61710.81640625,1,0,0,"69.07013"
"13309",13309,1161,2,206.358,251.127326658884,51230.7890625,1,0,0,"251.12733"
"13310",13310,1161,2,206.358,177.054715286342,26527.244140625,1,0,0,"177.05473"
"13311",13311,1161,2,206.358,53.0026725106611,13910.2333984375,1,0,0,"53.0026"
"13312",13312,1161,2,206.358,153.054505512158,13579.9072265625,1,0,0,"153.05477"
"13313",13313,1161,2,206.358,123.044640075881,11378.1005859375,1,0,0,"123.04462"
"13314",13314,1161,2,206.358,67.0545056527482,10264.4599609375,1,0,0,"67.05455"
"13315",13315,1161,2,206.358,91.054099451813,9922.904296875,1,0,0,"91.05413"
"13316",13316,1161,2,206.358,53.0388090229435,9800.7861328125,1,0,0,"53.03889"
"13317",13317,1161,2,206.358,103.054478652374,7280.88232421875,1,0,0,"103.05449"
"13318",13318,1161,2,206.358,93.0706560693269,6948.095703125,1,0,0,"93.07066"
"13319",13319,1161,2,206.358,212.066072202885,6644.658203125,1,0,0,"212.06607"
"13332",13332,1168,2,211.483,69.0701934117896,167536.859375,1,0,0,"69.07013"
"13333",13333,1168,2,211.483,331.190175169723,67057.21875,1,0,0,"331.19013"
"13334",13334,1168,2,211.483,225.075782595121,43572.9609375,1,0,0,"225.07566"
"13335",13335,1168,2,211.483,91.0541091261555,43397.92578125,1,0,0,"91.05413"
"13336",13336,1168,2,211.483,275.128072785694,39730.65625,1,0,0,"275.12787"
"13337",13337,1168,2,211.483,53.0026995869983,39121.359375,1,0,0,"53.0026"
"13338",13338,1168,2,211.483,79.0541945764882,35352.703125,1,0,0,"79.05417"
"13339",13339,1168,2,211.483,261.148896477027,27209.658203125,1,0,0,"261.14913"
"13340",13340,1168,2,211.483,133.064667243407,17172.087890625,1,0,0,"133.06448"
"13341",13341,1168,2,211.483,115.054171976774,16025.1748046875,1,0,0,"115.05434"
"13342",13342,1168,2,211.483,57.0701460158295,14313.5,1,0,0,"57.07007"
"13343",13343,1168,2,211.483,205.086569752257,14136.1650390625,1,0,0,"205.08718"
"13344",13344,1168,2,211.483,177.054785241277,13708.7646484375,1,0,0,"177.05473"
"13345",13345,1288,2,234.615,89.060166855798,46216.96484375,1,0,0,"89.06008"
"13346",13346,1288,2,234.615,195.122269181631,21753.267578125,1,0,0,"195.12241"
"13347",13347,1288,2,234.615,57.0700953358618,19575.251953125,1,0,0,"57.07007"
"13348",13348,1288,2,234.615,133.086172742771,19392.8359375,1,0,0,"133.08628"
"13349",13349,1288,2,234.615,85.1012990908997,11418.4169921875,1,0,0,"85.1013"
"13350",13350,1288,2,234.615,71.0857997544172,10580.0771484375,1,0,0,"71.0858"
"13365",13365,1315,2,232.689,119.048813466809,206826.625,1,0,0,"119.04876"
"13366",13366,1315,2,232.689,91.054168466041,81429.578125,1,0,0,"91.05413"
"13367",13367,1315,2,232.689,65.0388757683824,31922.326171875,1,0,0,"65.03877"
"13368",13368,1315,2,232.689,199.02414037367,9494.1640625,1,0,0,"199.02413"
"13369",13369,1315,2,232.689,67.0545172210925,9208.5322265625,1,0,0,"67.05455"
"13370",13370,1315,2,232.689,109.065570953282,7850.99462890625,1,0,0,"109.06557"
"13371",13371,1315,2,232.689,81.0699933054463,7367.8037109375,1,0,0,"81.07"
"13372",13372,1315,2,232.689,55.0546086475399,5805.96337890625,1,0,0,"55.05468"
"13377",13377,1323,2,220.99,120.080319462947,169138.390625,1,0,0,"120.08041"
"13378",13378,1323,2,220.99,166.086047227517,69132.015625,1,0,0,"166.08632"
"13379",13379,1323,2,220.99,103.054385229595,47440.53125,1,0,0,"103.05449"
"13380",13380,1323,2,220.99,57.0700480347352,30512.08203125,1,0,0,"57.07007"
"13381",13381,1323,2,220.99,93.0697992963556,7900.0400390625,1,0,0,"93.06982"
"13382",13382,1323,2,220.99,91.0540944210156,6472.3330078125,1,0,0,"91.05413"
"13388",13388,1326,2,238.931,110.071840139241,383462.5,1,0,0,"110.07176"
"13389",13389,1326,2,238.931,156.076969600076,167104.90625,1,0,0,"156.07692"
"13390",13390,1326,2,238.931,83.0604853655172,85908.0859375,1,0,0,"83.06042"
"13391",13391,1326,2,238.931,93.0452382456949,56464.60546875,1,0,0,"93.04514"
"13392",13392,1326,2,238.931,95.0607489065292,23203.44921875,1,0,0,"95.06076"
"13393",13393,1326,2,238.931,264.204871110586,18772.384765625,1,0,0,"264.20487"
"13394",13394,1326,2,238.931,56.0497707546398,18681.48828125,1,0,0,"56.04978"
"13395",13395,1326,2,238.931,57.0701556283538,14465.4287109375,1,0,0,"57.07007"
"13396",13396,1326,2,238.931,91.054164117751,9098.4072265625,1,0,0,"91.05413"
"13397",13397,1326,2,238.931,81.0451182486592,8906.3125,1,0,0,"81.04506"
"13398",13398,1326,2,238.931,71.0857822978035,8089.80419921875,1,0,0,"71.0858"
"13399",13399,1326,2,238.931,69.0701268669285,7685.86767578125,1,0,0,"69.07013"
"13400",13400,1326,2,238.931,55.0546382520215,7543.9990234375,1,0,0,"55.05468"
"13401",13401,1326,2,238.931,67.0545532765926,7481.7744140625,1,0,0,"67.05455"
"13404",13404,1353,2,225.204,105.070304876406,261871.21875,1,0,0,"105.07017"
"13405",13405,1353,2,225.204,119.048794353685,29198.0625,1,0,0,"119.04876"
"13406",13406,1353,2,225.204,79.0542325877655,27850.798828125,1,0,0,"79.05417"
"13407",13407,1353,2,225.204,69.0337716431852,21588.7109375,1,0,0,"69.03368"
"13408",13408,1353,2,225.204,91.0544653302645,20726.7421875,1,0,0,"91.05413"
"13409",13409,1353,2,225.204,103.054535411752,12980.1220703125,1,0,0,"103.05449"
"13410",13410,1353,2,225.204,53.0388382361104,12371.212890625,1,0,0,"53.03889"
"13411",13411,1353,2,225.204,121.064932988533,10910.9189453125,1,0,0,"121.06489"
"13412",13412,1353,2,225.204,83.0489416371363,10823.7880859375,1,0,0,"83.04895"
"13413",13413,1353,2,225.204,249.113180535555,10516.7109375,1,0,0,"249.11318"
"13414",13414,1353,2,225.204,55.0546294721604,5066.16357421875,1,0,0,"55.05468"
"13421",13421,1354,2,219.315,581.242259958404,166202.25,1,4240,0,"581.24226"
"13422",13422,1354,2,219.315,83.0490485299089,121393.6484375,1,4240,0,"83.04895"
"13423",13423,1354,2,219.315,55.0547153535865,18105.853515625,1,4240,0,"55.05468"
"13424",13424,1354,2,219.315,53.0388270400575,5675.25537109375,1,4240,0,"53.03889"
"13425",13425,1354,2,219.315,53.0025747561964,5444.40087890625,1,4240,0,"53.0026"
"13426",13426,1370,2,229.618,263.093093696291,111271.9921875,1,0,0,"263.09309"
"13427",13427,1370,2,229.618,233.044615131582,25208.166015625,1,0,0,"233.04462"
"13428",13428,1370,2,229.618,83.0129863801131,25158.416015625,1,0,0,"83.01292"
"13429",13429,1370,2,229.618,234.05311800817,18207.8359375,1,0,0,"234.05312"
"13430",13430,1370,2,229.618,199.023903977125,16033.81640625,1,0,0,"199.02413"
"13431",13431,1370,2,229.618,69.0700752602726,10041.2880859375,1,0,0,"69.07013"
"13432",13432,1370,2,229.618,195.065526301625,7138.1416015625,1,0,0,"195.06547"
"13438",13438,1376,2,240.715,319.151775218654,101408.046875,1,0,0,"319.15178"
"13439",13439,1376,2,240.715,301.142794125945,49906.75390625,1,0,0,"301.14279"
"13440",13440,1376,2,240.715,57.0701686052972,46321.40625,1,0,0,"57.07007"
"13441",13441,1376,2,240.715,91.0542483145185,32612.078125,1,0,0,"91.05413"
"13442",13442,1376,2,240.715,107.085651123693,29548.470703125,1,0,0,"107.08554"
"13443",13443,1376,2,240.715,217.086927398981,20352.025390625,1,0,0,"217.08657"
"13444",13444,1376,2,240.715,119.085598119863,19448.060546875,1,0,0,"119.0857"
"13445",13445,1376,2,240.715,175.076513916652,19314.890625,1,0,0,"175.07621"
"13446",13446,1376,2,240.715,79.0542390305334,14616.8154296875,1,0,0,"79.05417"
"13447",13447,1376,2,240.715,147.080881051176,14558.59375,1,0,0,"147.08092"
"13448",13448,1376,2,240.715,193.085954162806,14069.2587890625,1,0,0,"193.08583"
"13449",13449,1376,2,240.715,105.070215965548,12764.6181640625,1,0,0,"105.07017"
"13450",13450,1376,2,240.715,291.157635723798,9737.4228515625,1,0,0,"291.15733"
"13451",13451,1376,2,240.715,93.0698464627016,9611.7392578125,1,0,0,"93.06982"
"13452",13452,1376,2,240.715,103.075366091464,9386.6513671875,1,0,0,"103.07536"
"13453",13453,1376,2,240.715,235.096355347471,9143.9560546875,1,0,0,"235.09632"
"13454",13454,1376,2,240.715,128.06204712416,7983.22705078125,1,0,0,"128.06203"
"13455",13455,1376,2,240.715,53.0025806821659,7325.24853515625,1,0,0,"53.0026"
"13484",13484,1386,2,217.51,341.174138677098,10269.662109375,1,0,0,"341.17414"
"13485",13485,1386,2,217.51,359.184951015223,10062.1923828125,1,0,0,"359.18495"
"13486",13486,1386,2,217.51,69.0701028144128,8741.642578125,1,0,0,"69.07013"
"13487",13487,1386,2,217.51,57.0700076098082,8328.845703125,1,0,0,"57.07007"
"13498",13498,1430,2,234.193,84.0442265227615,172442.75,1,0,0,"84.04422"
"13499",13499,1430,2,234.193,130.050629158561,156424.484375,1,0,0,"130.05052"
"13500",13500,1430,2,234.193,129.065826813608,58174.5546875,1,0,0,"129.06583"
"13501",13501,1430,2,234.193,147.076011980419,52866.79296875,1,0,0,"147.07582"
"13502",13502,1430,2,234.193,172.170628468646,17735.6953125,1,0,0,"172.17063"
"13503",13503,1430,2,234.193,56.0498271218659,16177.4326171875,1,0,0,"56.04978"
"13504",13504,1430,2,234.193,57.0700824128937,14186.1943359375,1,0,0,"57.07007"
"13512",13512,1488,2,231.289,69.0702046443941,19364.748046875,1,3518,0,"69.07013"
"13513",13513,1488,2,231.289,57.069972949087,12297.015625,1,3518,0,"57.07007"
"13514",13514,1488,2,231.289,221.081260017733,10431.619140625,1,3518,0,"221.08119"
"13515",13515,1488,2,231.289,91.054077110435,9813.5732421875,1,3518,0,"91.05413"
"13516",13516,1488,2,231.289,293.137157528565,9714.77734375,1,3518,0,"293.13725"
"13517",13517,1488,2,231.289,361.201193414364,8920.044921875,1,3518,0,"361.20082"
"13518",13518,1488,2,231.289,105.07014274091,8269.326171875,1,3518,0,"105.07017"
"13519",13519,1488,2,231.289,67.0544891972529,7943.94384765625,1,3518,0,"67.05455"
"13538",13538,1499,2,246.078,176.876094335811,26699.458984375,1,2085,0,"176.8761"
"13539",13539,1499,2,246.078,91.0541398303702,18183.263671875,1,2085,0,"91.05413"
"13540",13540,1499,2,246.078,79.0542581375857,16324.708984375,1,2085,0,"79.05417"
"13541",13541,1499,2,246.078,93.0698595335996,15054.6806640625,1,2085,0,"93.06982"
"13542",13542,1499,2,246.078,67.0545368411976,14475.365234375,1,2085,0,"67.05455"
"13543",13543,1499,2,246.078,81.070037225322,9775.4208984375,1,2085,0,"81.07"
"13544",13544,1499,2,246.078,105.070243574254,8848.33203125,1,2085,0,"105.07017"
"13545",13545,1499,2,246.078,55.0546384767082,8536.0595703125,1,2085,0,"55.05468"
"13556",13556,1515,2,204.581,69.0701314378266,72380.484375,1,0,0,"69.07013"
"13557",13557,1515,2,204.581,113.060147282364,35930.9375,1,0,0,"113.0602"
"13558",13558,1515,2,204.581,261.149230208132,21407.568359375,1,0,0,"261.14913"
"13559",13559,1515,2,204.581,331.19002972987,20849.748046875,1,0,0,"331.19013"
"13560",13560,1515,2,204.581,53.002609582384,20077.044921875,1,0,0,"53.0026"
"13561",13561,1515,2,204.581,225.075985229958,17433.609375,1,0,0,"225.07566"
"13562",13562,1515,2,204.581,67.0545831392481,16670.96484375,1,0,0,"67.05455"
"13563",13563,1515,2,204.581,281.136984758626,16203.3203125,1,0,0,"281.13706"
