,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
121.0648_259.764_7010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.904203323558,0.0,0.0,0.0,0.0,0.0
121.0648_316.513_7018,0.146493756004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76320845341,0.0,0.0,0.0,0.0,0.0
121.0648_515.409_7034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.889649923896,0.0,0.0,0.0,0.0,0.0
121.0648_704.213_10244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.798806479113,0.133844842285,0.0,0.0,0.0,0.0
121.06481_354.896_7031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.921318447634,0.0,0.0,0.0,0.0,0.0
121.06481_459.215_7011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.924384787472,0.0,0.0,0.0,0.0,0.0
121.06484_481.014_7033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.847257383966,0.0,0.0,0.0,0.0,0.0
123.05532_414.504_5678,0.0,0.0,0.302302302302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416416416416,0.0,0.0,0.0,0.0,0.131131131131,0.0,0.0,0.0,0.0
124.03935_335.339_5733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.677777777778,0.0,0.0,0.0,0.0,0.0
124.03936_354.896_5731,0.0,0.0,0.636838180462,0.0,0.0,0.0,0.0596569724087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182699478001,0.0,0.0,0.0,0.0
124.03936_390.305_5730,0.0,0.0,0.806666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.05496_422.465_7210,0.30826369545,0.0,0.467038068709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.06624_479.488_7035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.369696969697,0.0824242424242,0.0,0.0,0.373333333333
127.03897_346.733_7157,0.0,0.0,0.305305305305,0.0,0.0,0.0,0.254254254254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.305305305305,0.0,0.0,0.0,0.0,0.0
127.03897_699.829_10407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108077360637,0.384527872582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346985210466,0.0,0.0,0.0,0.0,0.0
127.03898_669.781_10405,0.0,0.0,0.0955004591368,0.0,0.0,0.0,0.0,0.0,0.318640955005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0541781450872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.307621671258,0.0,0.0,0.0,0.0,0.0
127.05023_414.504_5734,0.0,0.0,0.0573217726397,0.0,0.0,0.0,0.13246628131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500963391137,0.194605009634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129.06579_632.053_9131,0.0,0.0,0.803452855246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.04989_482.456_7038,0.0,0.0,0.428395061728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.398765432099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.08629_567.28_8060,0.0,0.386473429952,0.375603864734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
