STDMix,Compound Name,Formula,Polarity,Detected m/z,Actual RT,Adduct1 H+
2,Succinate,C4H6O4,-,117.01925,10.36,143731156
2,D-Glucuronolactone,C6H8O6,-,175.02487,8.9,8037272
2,Mesaconate,C5H6O4,-,129.01939,10.55,3922769
2,2-Oxoglutarate,C5H6O5,-,145.01425,6.85,56079396
2,GMP,C10H14N5O8P,-,362.05133,10.49,2978847
2,(S)-Malate,C4H6O5,-,133.01422,10.83,112748879
2,UDP-glucose,C15H24N2O17P2,-,565.04901,10.74,2191588
2,Folate,C19H19N7O6,-,440.13306,10.85,2808525
2,NADP+,C21H28N7O17P3,-,742.07013,10.62,180488
2,3-Phospho-D-glycerate,C3H7O7P,-,184.98573,11.16,30236
2,Oxalate,C2H2O4,-,88.98812,11.72,60443
2,GDP,C10H15N5O11P2,-,442.01782,11.74,471537
2,citrate,C6H8O7,-,191.01988,11.74,26562054
2,CTP,C9H16N3O14P3,-,481.97787,12.03,86042
2,GTP,C10H16N5O14P3,-,521.98462,12.69,26973
2,2-Deoxy-D-glucose,C6H12O5,-,163.06149,6.69,31820
2,(R)-Lactate,C3H6O3,-,89.02454,7.96,9071166
3,Dihydrolipoamide,C8H17NOS2,+,208.08241,4.63,209470
3,lipoamide,C8H15NOS2,+,206.06679,4.9,335437062
3,2-Aminobutan-4-olide,C4H7NO2,+,102.05494,6.33,128745378
3,2-hydroxyethyldisulfide,C4H10O2S2,+,155.0192,6.71,216825
3,Isonicotinic acid,C6H5NO2,+,124.03926,6.92,1102801408
3,L-cysteine,C3H7NO2S,+,122.02703,10.21,12799374
3,L-Noradrenaline,C8H11NO3,+,170.0813,7.63,96950
3,O-Acetylcarnitine,C9H17NO4,+,204.12289,8.67,2530268729
3,O-Acetyl-L-serine,C5H9NO4,+,148.06027,9.78,34229806
3,L-Homocysteine,C4H9NO2S,+,136.04271,10.92,8255562
3,5-Aminolevulinate,C5H9NO3,+,132.06534,9.64,427691986
3,gamma-L-Glutamyl-L-cysteine,C8H14N2O5S,+,251.06941,9.86,39698196
3,glutathione,C10H17N3O6S,+,308.09119,9.88,1590969
3,Acetylcholine,C7H15NO2,+,146.11748,12.57,1215947874
3,L-Cystine,C6H12N2O4S2,+,241.03101,10.79,9650940
3,Mercaptoethanol,C2H6OS,+,79.02116,21.79,39880590
3,Glutathione disulfide,C20H32N6O12S2,+,613.15936,10.92,15392025
3,Bis-gamma-glutamylcystine,C16H26N4O10S2,+,499.11624,11.14,7591751
3,Benzoate,C7H6O2,-,121.02953,6.04,9868975
3,acetylcysteine,C5H9NO3S,-,162.02312,7.01,2753303
3,D-Glucono-1_4-lactone,C6H10O6,-,177.04056,7.51,11297278
3,Acetoacetate,C4H6O3,-,101.0244,7.34,5062008
3,Maleic acid,C4H4O4,-,115.00345,9.28,599787751
3,D-Arabinose,C5H10O5,-,149.04556,10.13,303208
3,D-Fructose,C6H12O6,-,179.05626,10.11,3850571
3,Orthophosphate,H3O4P,-,96.96962,10.84,12672021
3,NADH,C21H29N7O14P2,-,664.11902,8.98,12947696
3,L-Dehydroascorbate,C6H6O6,-,173.0092,11.55,39967
3,N-acetyl-L-glutamate,C7H11NO5,-,188.05653,9.77,448980822
3,ascorbate,C6H8O6,-,175.02499,10.58,24091
3,Itaconate,C5H6O4,-,129.01932,10.37,183653107
3,D-Fructose 6-phosphate,C6H13O9P,-,259.02258,10.61,41093906
3,Adenosine 2'_5'-bisphosphate,C10H15N5O10P2,-,426.02286,10.73,4686716
3,2-phospho-D-glycerate,C3H7O7P,-,184.98573,10.95,46332985
3,pyrophosphate,H4O7P2,-,176.93607,10.84,425160
