Topic 26,loss_79.02691,fragment_61.0398,loss_138.06381,fragment_60.04474,loss_176.03198,fragment_158.04457,fragment_176.05555,loss_61.01618,fragment_112.03978,fragment_85.02826,fragment_70.02898,loss_167.04276,fragment_122.02322,fragment_219.06212,fragment_56.04975,fragment_84.04465,loss_18.00932,fragment_127.05067,fragment_140.03414
Topic 27,loss_89.08384,fragment_130.06586,fragment_128.04956,fragment_90.09183,fragment_102.09081,fragment_133.09596,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,fragment_133.08622,fragment_133.09783,fragment_132.10153,fragment_133.10075,fragment_133.59714,fragment_134.01282
Topic 28,loss_78.03161,loss_102.03124,fragment_97.0283,loss_106.02643,fragment_88.02178,fragment_103.03861,fragment_134.02756,fragment_61.02899,fragment_61.08456,fragment_120.06529,fragment_76.03914,fragment_127.05927,fragment_133.08622,loss_197.12615,fragment_133.07609,fragment_133.05262,fragment_133.05131,fragment_133.04976,fragment_133.06434
Topic 29,fragment_86.09648,loss_159.08947,loss_148.07328,fragment_132.10153,fragment_97.10086,fragment_134.05987,fragment_134.04803,fragment_132.39426,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,fragment_133.08622,fragment_134.08154,fragment_133.09596,fragment_133.09783
Topic 30,fragment_86.03203,fragment_165.09197,loss_179.11551,fragment_137.09643,loss_197.12615,fragment_119.0856,fragment_81.06995,fragment_53.03885,fragment_147.08077,fragment_127.0386,fragment_244.1645,fragment_166.09425,fragment_120.08927,fragment_240.13257,fragment_138.099,fragment_82.07335,fragment_148.08413,fragment_184.10516,fragment_71.0857
Topic 31,fragment_83.04886,loss_54.03168,loss_96.04179,fragment_61.02856,loss_84.04227,fragment_55.05462,loss_36.02096,fragment_103.03861,fragment_111.04417,fragment_147.0656,loss_66.03166,loss_122.05784,loss_82.02662,fragment_99.04448,fragment_99.04356,loss_104.04715,fragment_137.03991,fragment_119.03011,fragment_131.08611
Topic 32,fragment_93.06975,fragment_108.08043,loss_197.12615,fragment_133.09596,fragment_132.10153,fragment_132.39426,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,fragment_133.08622,fragment_133.10075,fragment_133.09783,fragment_132.07688,fragment_133.59714,fragment_134.01282
Topic 33,fragment_67.0545,loss_197.12615,fragment_133.09783,fragment_132.39426,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,fragment_133.08622,fragment_133.09596,fragment_133.10075,fragment_132.08126,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645
Topic 34,fragment_53.00255,loss_197.12615,fragment_133.09783,fragment_132.39426,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,fragment_133.08622,fragment_133.09596,fragment_133.10075,fragment_132.08126,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645
Topic 35,fragment_115.08697,loss_147.05303,fragment_129.10185,fragment_164.07024,fragment_119.04848,fragment_134.08154,fragment_132.10153,fragment_132.39426,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,fragment_133.08622,fragment_133.09596,fragment_133.09783,fragment_132.08126
